Time,Value
23:05:33.661.934,0
23:05:33.661.934,192
23:05:33.661.934,163
23:05:33.661.934,49
23:05:33.661.934,43
23:05:33.661.934,198
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,127
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,85
23:05:33.661.934,254
23:05:33.661.934,242
23:05:33.661.934,194
23:05:33.661.934,50
23:05:33.661.934,154
23:05:33.661.934,169
23:05:33.661.934,69
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,192
23:05:33.661.934,231
23:05:33.661.934,50
23:05:33.661.934,43
23:05:33.661.934,198
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,127
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,165
23:05:33.661.934,151
23:05:33.661.934,169
23:05:33.661.934,69
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,192
23:05:33.661.934,52
23:05:33.661.934,52
23:05:33.661.934,43
23:05:33.661.934,198
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,127
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,77
23:05:33.661.934,6
23:05:33.661.934,243
23:05:33.661.934,194
23:05:33.661.934,92
23:05:33.661.934,151
23:05:33.661.934,169
23:05:33.661.934,69
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,192
23:05:33.661.934,88
23:05:33.661.934,52
23:05:33.661.934,43
23:05:33.661.934,198
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,224
23:05:33.661.934,13
23:05:33.661.934,243
23:05:33.661.934,194
23:05:33.661.934,171
23:05:33.661.934,148
23:05:33.661.934,169
23:05:33.661.934,69
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,192
23:05:33.661.934,182
23:05:33.661.934,53
23:05:33.661.934,43
23:05:33.661.934,198
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,127
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,142
23:05:33.661.934,14
23:05:33.661.934,243
23:05:33.661.934,194
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,192
23:05:33.661.934,68
23:05:33.661.934,55
23:05:33.661.934,43
23:05:33.661.934,198
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,127
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,188
23:05:33.661.934,22
23:05:33.661.934,243
23:05:33.661.934,194
23:05:33.661.934,132
23:05:33.661.934,145
23:05:33.661.934,169
23:05:33.661.934,69
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,192
23:05:33.661.934,76
23:05:33.661.934,55
23:05:33.661.934,43
23:05:33.661.934,198
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,127
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,192
23:05:33.661.934,196
23:05:33.661.934,56
23:05:33.661.934,43
23:05:33.661.934,198
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,127
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,148
